0.500000,0.955000,0.895000,1.000000,0.460000,0.800000,0.100000
0.300000,0.590000,0.495000,0.125000,0.460000,0.800000,0.200000
0.155000,0.590000,0.495000,0.125000,0.460000,0.400000,0.200000
0.155000,0.505000,0.595000,0.355000,0.460000,0.300000,0.400000
0.155000,0.505000,0.595000,0.355000,0.000000,0.200000,3.000000
0.155000,0.505000,0.595000,0.355000,0.460000,0.600000,0.400000
0.155000,0.505000,0.350000,0.090000,0.460000,0.300000,0.200000
0.520000,0.560000,0.345000,1.000000,0.460000,0.600000,0.500000
0.500000,0.800000,0.840000,1.000000,0.460000,0.600000,0.100000
0.520000,0.560000,0.345000,1.000000,0.460000,0.800000,0.200000
1.000000,0.550000,0.360000,0.000000,0.460000,1.000000,0.200000
1.000000,0.450000,0.560000,0.325000,0.460000,0.300000,0.500000
1.000000,0.450000,0.565000,0.325000,0.000000,0.200000,3.000000
1.000000,0.450000,0.560000,0.325000,0.460000,0.600000,0.500000
1.000000,0.490000,0.380000,0.125000,0.470000,0.300000,0.300000
0.520000,0.565000,0.330000,1.000000,0.460000,0.800000,0.500000
0.505000,0.940000,0.875000,1.000000,0.460000,0.600000,0.000000
